venue,key,horizon,outcome,mid,bid,ask,quote_t,quote_age_hours,settled_at,liquidity,liquidity_band,category,era,block,inferred
kalshi,KXAKPRIMARY-26MAY19-JWIL,1d,1,0.955000,0.950000,0.960000,2026-08-30T21:12:58Z,24.479,2026-08-31T21:41:41Z,188236.3600,>=100k,Elections,,kalshi:2026-08-31,0
kalshi,KXAKPRIMARY-26MAY19-JWIL,1wk,1,0.015000,0.010000,0.020000,2026-08-24T16:58:44Z,172.716,2026-08-31T21:41:41Z,9277.3000,1k-10k,Elections,,kalshi:2026-08-31,0
kalshi,KXAKPRIMARY-26MAY19-MSCH,1d,0,0.995000,0.990000,1.000000,2026-08-26T23:42:19Z,25.566,2026-08-28T01:16:15Z,25585.4400,10k-100k,Elections,,kalshi:2026-08-28,0
kalshi,KXAKSEN1-KXAKSENADVANCE26AUG18-1-MPEL,1d,1,0.995000,0.990000,1.000000,2026-08-31T08:43:02Z,30.927,2026-09-01T15:38:41Z,13139.2700,10k-100k,Elections,,kalshi:2026-09-01,0
kalshi,KXAKSEN1-KXAKSENADVANCE26AUG18-1-MPEL,1wk,1,0.995000,0.990000,1.000000,2026-08-25T15:08:54Z,168.496,2026-09-01T15:38:41Z,13141.4500,10k-100k,Elections,,kalshi:2026-09-01,0
kalshi,KXAKSENADVANCE-26AUG18-CHAF,1d,0,0.030000,0.010000,0.050000,2026-08-31T08:43:02Z,32.794,2026-09-01T17:30:41Z,3873.8200,1k-10k,Elections,,kalshi:2026-09-01,0
kalshi,KXAKSENADVANCE-26AUG18-DJSUL,1d,1,0.995000,0.990000,1.000000,2026-08-25T10:53:32Z,25.879,2026-08-26T12:46:17Z,17203.0400,10k-100k,Elections,,kalshi:2026-08-26,0
kalshi,KXAKSENADVANCE-26AUG18-DLES,1d,0,0.860000,0.840000,0.880000,2026-08-31T08:43:02Z,32.797,2026-09-01T17:30:51Z,28538.8100,10k-100k,Elections,,kalshi:2026-09-01,0
kalshi,KXAKSENADVANCE-26AUG18-DLES,1wk,0,0.935000,0.910000,0.960000,2026-08-25T16:59:11Z,168.528,2026-09-01T17:30:51Z,9106.7500,1k-10k,Elections,,kalshi:2026-09-01,0
kalshi,KXAKSENADVANCE-26AUG18-GHEI,1d,1,0.145000,0.120000,0.170000,2026-08-31T08:43:02Z,32.794,2026-09-01T17:30:41Z,22177.8200,10k-100k,Elections,,kalshi:2026-09-01,0
kalshi,KXAKSENADVANCE-26AUG18-GHEI,1wk,1,0.065000,0.040000,0.090000,2026-08-25T16:59:11Z,168.525,2026-09-01T17:30:41Z,10489.6000,10k-100k,Elections,,kalshi:2026-09-01,0
kalshi,KXALBUMRELEASEDATEBEY-NEW-JAN01-27,1d,1,0.640000,0.400000,0.880000,2026-09-08T16:43:00Z,25.212,2026-09-09T17:55:45Z,2413.7900,1k-10k,Entertainment,,kalshi:2026-09-09,0
kalshi,KXALBUMRELEASEDATEBEY-NEW-JAN01-27,1wk,1,0.430000,0.390000,0.470000,2026-09-02T16:40:23Z,169.256,2026-09-09T17:55:45Z,1188.7900,1k-10k,Entertainment,,kalshi:2026-09-09,0
